@relation 'puericultura.names'
@attribute numeroMes { 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}
@attribute numeroTipoMercado { 1, 2, 3, 4}
@attribute numeroFamiliaProduto { 1, 2, 3, 4, 5, 6}
@attribute numeroMarca { 1, 2, 3, 4, 5, 6}
@attribute qtde real
@attribute precoUnitario real
@attribute totalMercadorias real
@attribute totalNotaFiscal real
@attribute receitaLiquida real
@attribute numeroVendedor { 24, 43, 44, 20, 19, 22, 40, 25, 36, 13, 9, 50, 11, 14, 8, 41, 18, 29, 34, 33, 26, 6, 5, 16, 47, 2, 49, 39, 42, 12, 38, 3, 31, 27, 35, 28}
@attribute numeroProduto { 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59}
@data
1,1,5,1,360,141,50868,53411,45145,20,1
1,1,1,1,360,141,50868,53411,45145,20,1
1,1,1,1,280,141,39564,41542,35113,20,1
1,1,1,1,360,141,50868,53411,45145,20,1
1,1,1,1,120,141,16956,17804,15048,20,1
1,1,1,2,2160,54,115625,121406,102617,20,2
1,1,1,2,840,54,44965,47213,39907,20,2
1,2,1,2,20,44,880,924,781,6,2
1,3,1,2,300,44,13200,13860,11715,6,2
1,3,1,2,200,44,8800,9240,7810,6,2
1,3,1,2,20,44,880,924,781,6,2
1,1,1,1,360,141,50868,53411,45145,20,1
1,1,1,1,160,141,22608,23738,20065,20,1
1,1,1,2,2000,54,107060,112413,95016,20,2
1,2,1,2,200,44,8800,9240,7810,6,2
1,2,1,2,100,44,4400,4620,3905,6,2
1,2,1,2,100,44,4400,4620,3905,6,2
1,2,1,2,100,44,4400,4620,3905,6,2
1,3,1,1,200,98,19516,20492,17320,6,1
1,3,1,2,96,158,15147,15904,13443,24,3
1,2,1,2,5,158,789,828,700,14,3
1,2,1,2,2,158,316,331,280,14,3
1,2,1,2,3,158,473,497,420,14,3
1,1,1,1,360,140,50497,53022,44816,20,1
1,1,1,1,360,140,50497,53022,44816,20,1
1,1,1,1,360,140,50497,53022,44816,20,1
1,1,1,2,1160,53,61480,64554,48416,20,4
1,1,1,2,840,54,44965,47213,39907,20,2
1,1,1,2,840,54,44965,47213,39907,20,2
1,1,1,1,360,140,50497,53022,44816,20,1
1,1,1,1,360,140,50497,53022,44816,20,1
1,2,2,2,3,137,412,432,324,24,5
1,2,2,2,3,137,412,432,324,24,5
1,2,3,3,2,133,267,280,210,24,6
1,2,2,2,5,137,686,720,540,24,5
1,2,2,2,5,137,686,720,540,24,5
1,3,1,2,1000,59,58580,61509,51990,14,2
